CUENTA;MONTO;FECHA
3-105-39169-6;864;24/10/2023
8-107-15419-6;524;03/08/2023
8-101-19831-8;484;18/12/2023
2-108-60312-2;1221;05/11/2023
1-105-20978-1;438;22/05/2023
3-104-19210-8;1109;10/12/2023
2-101-26007-9;624;14/12/2023
3-102-67311-2;149;01/04/2023
4-107-16778-7;168;04/11/2023
9-106-36097-6;136;30/09/2023
1-106-60030-4;1286;07/11/2023
5-108-65621-3;956;27/09/2023
1-104-45777-7;668;09/12/2023
7-101-30288-4;55;22/03/2023
5-104-93915-1;739;09/03/2023
3-109-70102-6;339;26/06/2023
4-105-13027-9;142;07/09/2023
4-106-20202-7;383;29/07/2023
8-109-17830-7;374;21/10/2023
9-106-80438-8;312;17/04/2023
1-108-58389-5;871;14/07/2023
4-106-45900-2;535;10/04/2023
7-106-18158-4;1385;25/05/2023
3-106-93800-3;914;29/04/2023
6-104-78391-1;309;01/07/2023
3-105-62347-3;1460;05/06/2023
6-106-18742-1;736;15/05/2023
3-107-33689-2;718;13/04/2023
4-101-64579-3;275;01/11/2023
5-105-62179-1;486;29/08/2023
8-106-53656-9;78;06/04/2023
4-107-95641-6;930;12/10/2023
7-101-15958-7;1038;08/01/2023
4-109-48767-2;870;21/11/2023
4-105-16746-6;1155;29/12/2023
7-106-70565-4;101;22/06/2023
2-109-98725-2;143;04/02/2023
5-107-53559-6;583;25/04/2023
9-108-67151-1;921;11/10/2023
9-105-54756-5;913;08/01/2023
2-109-31959-5;900;19/03/2023
3-105-28377-1;957;27/11/2023
4-107-13176-5;1089;23/12/2023
1-107-12694-8;885;23/02/2023
8-104-70329-9;833;06/01/2023
9-106-86307-7;1261;07/11/2023
8-106-25677-7;109;26/12/2023
2-106-22162-4;745;25/01/2023
4-108-85031-9;122;13/10/2023
6-102-44811-4;329;21/08/2023
7-108-18506-3;576;08/12/2023
4-103-78629-2;914;02/01/2023
9-105-68207-3;192;27/05/2023
8-102-65265-3;1393;16/11/2023
8-107-15419-6;1459;02/01/2023
2-109-31959-5;1030;23/02/2023
8-109-14084-1;225;04/08/2023
3-106-18685-8;663;10/02/2023
4-101-45178-2;1453;13/07/2023
8-106-29885-1;1128;29/07/2023
2-109-40916-8;348;12/08/2023
8-104-61106-7;271;16/04/2023
6-103-26588-1;1273;07/11/2023
9-107-12460-3;1453;26/05/2023
4-103-41796-1;401;14/07/2023
7-103-52370-2;1166;08/12/2023
5-108-12836-3;630;17/01/2023
9-106-79108-7;429;18/06/2023
8-109-27522-8;1262;06/05/2023
8-109-86471-7;1143;06/11/2023
1-108-12684-1;353;02/05/2023
1-108-47786-9;3;08/11/2023
2-101-80212-6;450;30/10/2023
3-106-95794-3;28;20/07/2023
9-109-77852-4;422;01/09/2023
1-106-32913-1;259;24/05/2023
4-104-39274-3;1433;03/09/2023
7-102-54850-2;1053;10/11/2023
5-104-85606-6;1258;28/12/2023
5-107-27584-7;485;27/06/2023
3-109-13975-8;831;10/04/2023
4-104-72440-1;433;07/09/2023
4-104-16739-2;278;02/01/2023
8-103-91540-5;434;18/11/2023
9-108-34020-8;625;30/06/2023
8-105-66133-1;547;28/01/2023
7-109-30722-8;844;30/04/2023
2-107-53175-9;580;22/08/2023
2-107-34858-3;1385;19/06/2023
6-105-67516-4;447;08/06/2023
1-105-20069-4;714;08/03/2023
9-101-35398-9;1440;27/07/2023
3-102-93920-3;197;17/02/2023
2-103-26138-8;526;02/10/2023
4-104-19872-6;244;01/05/2023
2-109-70803-4;937;05/11/2023
1-107-57471-9;574;24/12/2023
2-109-41712-7;674;30/01/2023
9-108-64989-9;510;17/11/2023
2-107-57254-5;898;15/09/2023
9-108-67779-1;308;21/01/2023
1-102-88721-8;277;21/08/2023
1-109-92456-7;537;27/01/2023
1-109-94430-1;548;30/11/2023
5-108-91695-5;107;24/10/2023
9-107-24515-9;1487;03/09/2023
3-105-22665-1;1244;16/07/2023
8-102-38362-9;1412;18/12/2023
9-106-70204-4;606;18/02/2023
6-109-11650-1;59;17/02/2023
6-106-60672-7;375;12/10/2023
7-104-37207-9;447;16/01/2023
7-106-12899-9;355;20/02/2023
7-106-25202-3;249;29/07/2023
5-107-82808-5;975;14/10/2023
3-101-71627-6;246;16/11/2023
4-106-87678-7;1201;14/01/2023
6-107-65205-2;332;15/05/2023
7-105-80523-5;227;11/08/2023
4-107-26481-4;944;03/06/2023
1-108-72157-7;314;04/05/2023
2-102-94214-8;393;12/09/2023
2-109-65207-5;248;27/07/2023
4-104-75639-8;30;24/12/2023
9-101-20811-6;559;20/03/2023
8-108-77359-9;556;26/01/2023
3-109-13975-8;1192;26/06/2023
5-107-99828-1;944;06/06/2023
9-106-45707-8;374;18/08/2023
7-103-63784-4;928;20/12/2023
5-103-76959-1;155;11/09/2023
9-104-14129-9;815;08/10/2023
1-108-16129-7;1161;07/10/2023
1-109-98799-4;871;25/02/2023
4-102-81838-2;320;27/10/2023
9-109-57847-8;558;03/12/2023
1-108-95694-2;1140;05/10/2023
2-101-46868-8;643;19/02/2023
9-105-75243-5;1046;21/07/2023
1-109-14656-3;798;30/06/2023
9-104-53720-9;66;23/04/2023
3-105-26335-1;341;01/09/2023
4-104-89904-7;1360;03/09/2023
4-106-86899-6;107;26/03/2023
5-109-42970-9;280;02/10/2023
6-101-26508-2;150;20/12/2023
8-103-30682-7;281;29/04/2023
8-106-53656-9;1173;13/02/2023
2-107-57254-5;957;04/09/2023
5-102-43502-7;1080;12/09/2023
8-103-88717-8;278;14/08/2023
1-109-92456-7;347;13/02/2023
2-109-40459-9;523;26/03/2023
3-101-71627-6;1379;07/07/2023
7-103-97408-1;459;26/07/2023
1-105-77211-6;439;19/12/2023
4-104-72440-1;402;12/12/2023
7-102-50859-8;602;24/06/2023
8-106-92908-2;207;28/09/2023
8-101-53834-6;203;01/07/2023
2-104-94628-1;240;12/04/2023
9-104-27967-4;1365;01/02/2023
2-103-63889-8;1247;28/12/2023
5-104-90843-8;1497;03/06/2023
2-103-65730-9;967;04/11/2023
2-103-19610-9;1315;19/10/2023
7-107-48861-3;553;18/09/2023
8-101-65746-2;951;14/11/2023
7-101-55737-7;1479;18/10/2023
9-107-17568-3;1153;06/03/2023
3-102-70609-5;1058;06/07/2023
4-105-71817-3;1098;31/12/2023
7-107-48861-3;332;29/04/2023
1-109-58896-4;629;08/11/2023
9-108-67151-1;904;02/10/2023
9-106-18344-9;704;09/05/2023
7-102-78352-3;647;09/05/2023
9-109-90696-1;796;25/04/2023
7-101-85792-7;1444;06/09/2023
5-103-68312-8;980;07/08/2023
3-103-21514-8;1248;02/07/2023
8-108-10321-6;998;16/08/2023
8-107-34817-5;667;22/08/2023
4-106-26207-1;1085;28/04/2023
8-108-35076-7;749;14/09/2023
2-104-87309-5;1163;27/02/2023
5-104-41294-6;36;24/05/2023
7-101-41590-3;145;17/07/2023
9-103-97363-1;340;19/12/2023
7-105-91894-3;1157;13/08/2023
4-103-55617-1;1477;03/03/2023
3-105-62347-3;362;05/07/2023
7-106-37046-3;578;09/01/2023
2-106-91728-8;1235;19/07/2023
1-106-89290-9;776;24/04/2023
8-108-13137-7;119;12/06/2023
9-107-75506-2;423;01/12/2023
1-102-45685-3;113;22/01/2023
2-105-76980-3;180;27/02/2023
6-107-80790-9;897;16/04/2023
7-101-13884-7;1307;20/02/2023
5-103-78432-4;249;12/01/2023
1-101-96020-1;553;14/08/2023
1-105-39382-3;98;14/07/2023
2-101-61450-1;567;09/02/2023
5-108-39178-4;253;12/12/2023
9-109-42617-9;543;14/05/2023
7-101-67704-1;1046;13/07/2023
3-101-44552-3;641;23/06/2023
1-108-47786-9;1303;27/01/2023
2-103-35724-9;1456;08/07/2023
6-101-31184-7;1047;20/11/2023
2-104-82261-8;96;19/01/2023
3-102-57784-9;1168;05/02/2023
9-108-35993-2;133;11/05/2023
7-106-52817-2;656;27/12/2023
3-102-67311-2;169;09/02/2023
7-106-26852-3;1371;04/02/2023
9-105-75927-5;1199;21/10/2023
9-101-88144-7;472;24/08/2023
4-107-88358-3;150;22/12/2023
2-103-68873-6;448;07/02/2023
2-105-23690-7;495;06/01/2023
3-104-19210-8;647;26/11/2023
5-106-24750-6;463;13/04/2023
7-103-55286-9;365;06/10/2023
7-106-50294-5;582;12/09/2023
7-106-55640-5;180;01/09/2023
5-108-30055-9;685;21/06/2023
3-102-50484-8;999;03/01/2023
9-103-64248-8;281;11/12/2023
9-109-40013-3;858;16/04/2023
3-108-36721-2;985;16/01/2023
1-103-73627-4;273;24/02/2023
2-104-87309-5;453;25/08/2023
4-103-78477-6;87;18/11/2023
1-105-72502-4;546;20/12/2023
3-104-48132-4;1085;15/09/2023
3-101-95653-7;394;09/12/2023
7-107-14800-3;671;07/04/2023
3-103-63622-5;1404;17/10/2023
9-107-91749-3;511;27/09/2023
1-103-13825-7;126;06/07/2023
1-107-64527-3;1022;31/08/2023
9-102-91594-7;488;18/11/2023
2-109-31959-5;644;06/09/2023
7-106-37046-3;1064;16/04/2023
8-107-69004-3;182;22/05/2023
1-108-30750-3;425;05/01/2023
3-109-13975-8;253;17/04/2023
6-108-96734-6;607;18/01/2023
9-107-30406-9;455;27/12/2023
5-103-10602-6;1332;16/10/2023
4-102-50174-2;1152;05/12/2023
9-108-64989-9;1016;01/03/2023
4-101-93624-6;890;27/04/2023
5-101-22574-3;274;07/09/2023
5-102-69056-7;818;15/07/2023
3-105-96067-4;572;22/08/2023
7-104-91913-7;569;03/09/2023
8-101-65746-2;638;17/02/2023
8-105-18011-3;854;19/11/2023
5-109-82719-7;697;07/12/2023
7-109-65024-7;637;05/12/2023
4-108-56835-1;360;19/04/2023
8-106-29885-1;760;17/11/2023
5-105-21118-4;880;20/08/2023
1-108-83878-8;136;10/06/2023
5-101-22574-3;1421;17/12/2023
5-104-31998-2;677;12/08/2023
5-103-18732-9;1274;21/08/2023
9-101-79582-1;322;03/08/2023
9-107-76748-9;521;07/10/2023
3-103-72792-3;1298;21/06/2023
6-102-36879-4;1336;24/04/2023
7-102-54850-2;1020;20/05/2023
4-104-72440-1;541;12/06/2023
1-109-28859-8;568;12/02/2023
4-106-27334-7;591;12/09/2023
7-108-60979-2;1476;16/11/2023
2-104-92558-8;568;25/10/2023
8-101-85142-4;438;02/08/2023
9-109-11124-9;946;10/01/2023
3-106-72390-4;1278;18/11/2023
4-103-69189-7;1497;02/01/2023
4-108-10885-5;1336;22/02/2023
1-109-58896-4;799;14/09/2023
3-102-66904-8;1084;15/10/2023
1-105-20978-1;496;08/08/2023
3-105-62347-3;587;11/10/2023
8-107-34817-5;248;10/08/2023
6-103-49642-6;80;26/06/2023
8-107-83912-4;374;06/01/2023
5-109-67021-9;583;10/08/2023
9-101-28187-8;951;16/02/2023
7-102-77508-2;225;23/09/2023
2-109-31959-5;123;03/06/2023
7-106-31543-3;455;12/02/2023
6-103-84101-2;774;14/09/2023
7-107-45090-6;1346;14/02/2023
1-106-60030-4;401;28/12/2023
6-106-88941-9;1374;24/05/2023
4-103-55617-1;460;08/06/2023
5-106-17738-6;1417;03/09/2023
5-109-40563-1;276;09/11/2023
4-107-26481-4;971;08/07/2023
9-106-75560-9;362;28/11/2023
1-104-67809-4;76;09/09/2023
3-105-69611-6;470;01/07/2023
8-106-75394-3;518;05/04/2023
8-104-23179-5;136;17/03/2023
1-106-41616-4;254;20/12/2023
2-108-19101-1;1249;06/05/2023
1-106-55045-4;1193;28/07/2023
5-106-57298-9;1455;22/09/2023
5-104-30004-9;279;26/07/2023
1-105-80054-7;1393;16/05/2023
6-101-41740-3;845;19/07/2023
5-109-40563-1;1391;11/10/2023
8-106-92908-2;996;26/01/2023
8-105-86834-1;1211;13/09/2023
8-101-19831-8;332;02/01/2023
5-104-31998-2;1265;25/10/2023
1-106-41616-4;393;12/05/2023
8-104-23179-5;1127;14/12/2023
4-109-27267-3;1402;18/12/2023
1-101-97447-1;468;23/11/2023
1-105-91149-3;543;25/12/2023
3-104-60139-7;162;08/11/2023
5-104-89383-2;194;04/06/2023
8-108-35076-7;630;05/12/2023
9-105-48547-5;153;06/04/2023
9-109-53558-8;100;08/10/2023
3-103-54636-2;877;09/02/2023
2-108-60312-2;653;18/02/2023
4-106-20202-7;1453;25/02/2023
1-109-92456-7;693;16/02/2023
5-104-41294-6;171;20/07/2023
9-101-25222-3;923;21/10/2023
6-107-80790-9;131;15/06/2023
8-107-89065-5;950;16/07/2023
8-101-85142-4;1369;04/09/2023
7-108-65733-7;409;15/05/2023
8-105-46596-7;446;07/07/2023
7-102-48020-9;723;09/03/2023
9-101-20811-6;1187;19/04/2023
7-106-55640-5;533;16/01/2023
4-108-85031-9;928;31/12/2023
4-106-12178-9;959;26/11/2023
8-109-17830-7;1500;05/03/2023
1-108-12684-1;86;27/01/2023
6-103-47484-2;250;06/01/2023
8-105-41595-4;863;19/04/2023
2-104-92357-6;25;20/11/2023
3-102-93920-3;350;25/06/2023
3-103-35930-8;1051;22/12/2023
2-104-21416-6;610;02/05/2023
9-106-39368-7;292;13/01/2023
1-106-95668-1;736;28/07/2023
3-102-70609-5;250;25/08/2023
5-101-87086-8;982;17/10/2023
7-101-37772-1;146;08/09/2023
5-101-53704-5;887;03/09/2023
3-101-71627-6;1112;10/10/2023
6-106-78920-7;491;10/05/2023
7-109-84453-9;638;01/11/2023
7-101-33259-8;533;17/02/2023
2-103-43997-9;372;11/05/2023
5-102-51144-3;1497;25/02/2023
2-101-61230-4;1221;25/09/2023
7-105-28853-9;1104;23/12/2023
6-107-65205-2;434;16/01/2023
5-108-55445-8;993;28/01/2023
4-106-81448-8;1040;16/07/2023
7-101-33259-8;796;06/07/2023
6-107-21043-2;318;26/03/2023
6-109-55849-7;1033;08/06/2023
3-101-96673-5;145;10/07/2023
6-103-43112-9;377;22/03/2023
2-104-22749-7;1487;07/04/2023
2-109-51721-2;90;03/09/2023
5-107-79714-4;390;29/04/2023
6-106-88941-9;394;15/02/2023
1-101-87198-2;902;15/09/2023
4-106-24200-5;883;25/08/2023
8-103-91823-4;133;06/06/2023
2-105-78996-1;464;22/01/2023
6-102-40972-6;1097;20/06/2023
3-107-21422-4;465;01/05/2023
7-102-37541-1;66;06/09/2023
3-103-63622-5;586;23/06/2023
8-105-63917-1;291;14/12/2023
4-103-33231-6;626;05/09/2023
8-107-31676-7;1109;24/03/2023
6-101-31184-7;1311;11/05/2023
5-101-17697-8;798;19/02/2023
9-106-58690-4;108;10/01/2023
2-109-68979-6;122;30/04/2023
1-108-76451-6;885;05/07/2023
3-107-92425-2;586;01/02/2023
6-105-27962-4;686;08/12/2023
1-104-28435-1;597;19/08/2023
1-104-59231-8;59;04/04/2023
4-102-83344-8;606;04/07/2023
9-103-64248-8;1307;26/09/2023
9-108-94655-7;1348;11/04/2023
2-103-43997-9;110;21/04/2023
5-108-96823-9;1147;28/07/2023
9-105-35812-3;285;19/07/2023
3-105-22665-1;528;01/02/2023
1-108-25504-5;161;23/03/2023
3-103-38910-1;1206;22/02/2023
6-102-93158-2;959;29/04/2023
2-109-27501-5;652;05/02/2023
5-101-94589-4;488;25/02/2023
5-106-75650-7;122;02/11/2023
3-102-37074-2;1073;26/10/2023
4-105-16480-8;1423;11/11/2023
4-107-88185-1;184;07/12/2023
6-102-93158-2;463;19/02/2023
7-101-69434-5;1103;16/09/2023
9-107-12460-3;1160;17/10/2023
3-102-27804-4;516;28/10/2023
3-105-83520-1;646;04/05/2023
7-101-69434-5;172;22/09/2023
9-101-74374-5;187;20/09/2023
7-106-70565-4;350;04/09/2023
1-102-25400-2;1193;10/01/2023
1-108-58389-5;782;17/04/2023
4-104-72440-1;659;23/10/2023
2-103-26843-9;842;28/07/2023
5-109-67021-9;828;30/08/2023
9-109-16820-8;821;16/08/2023
1-106-60030-4;416;21/11/2023
5-106-53967-9;148;30/12/2023
8-102-38518-4;281;27/04/2023
8-109-97011-5;169;14/05/2023
8-109-27522-8;1203;09/11/2023
5-105-62026-2;1268;08/01/2023
2-109-70803-4;1226;11/06/2023
6-109-39092-6;1133;21/02/2023
6-106-67685-4;66;25/09/2023
3-102-37303-1;1188;21/10/2023
8-104-70329-9;1263;25/10/2023
8-106-65723-1;794;23/12/2023
1-102-57479-4;558;25/07/2023
3-109-92613-5;602;21/09/2023
5-105-98018-3;493;27/01/2023
9-104-59162-4;527;20/08/2023
4-103-55617-1;151;27/07/2023
3-105-22737-7;890;20/06/2023
1-103-57205-7;497;11/03/2023
3-105-22665-1;521;26/04/2023
5-108-22793-6;631;22/04/2023
3-109-71814-3;928;12/07/2023
2-106-23456-1;1208;17/06/2023
2-108-35383-4;346;28/01/2023
2-101-19437-3;982;21/09/2023
4-108-50602-5;522;30/11/2023
9-109-46053-9;1354;12/07/2023
2-103-63889-8;1135;05/02/2023
7-102-48020-9;1082;08/12/2023
6-105-14472-2;132;28/12/2023
9-109-40013-3;1419;09/03/2023
2-105-95430-8;293;29/10/2023
5-101-53704-5;725;02/03/2023
4-104-19872-6;1121;15/07/2023
2-101-61230-4;1341;11/07/2023
1-101-21544-1;79;10/02/2023
8-101-12726-2;964;18/11/2023
4-106-12178-9;195;23/10/2023
6-109-24169-9;615;19/02/2023
5-107-80715-3;280;14/04/2023
6-108-82500-6;106;04/12/2023
6-105-85838-2;299;09/10/2023
7-108-60979-2;131;08/08/2023
9-105-40619-1;849;17/07/2023
5-109-39502-5;415;11/11/2023
3-102-57784-9;1221;29/09/2023
3-101-86272-9;366;22/09/2023
2-105-78996-1;260;23/11/2023
4-104-27664-2;424;06/04/2023
5-105-36753-7;33;27/05/2023
8-108-25413-1;866;09/07/2023
3-105-26335-1;1349;17/05/2023
5-107-67630-7;1234;17/08/2023
1-107-64527-3;568;25/04/2023
2-109-31959-5;27;19/06/2023
1-106-68778-6;225;25/01/2023
3-105-62347-3;191;18/01/2023
2-103-53205-6;626;10/06/2023
7-102-37541-1;1400;30/06/2023
2-109-83553-2;274;29/05/2023
3-102-94359-2;524;03/05/2023
3-103-14383-9;181;15/02/2023
5-108-65370-6;20;31/07/2023
6-102-75330-4;345;05/10/2023
6-105-99860-5;419;09/12/2023
5-109-76922-2;1253;06/03/2023
5-108-19217-9;782;15/08/2023
1-102-25400-2;426;02/08/2023
9-101-88144-7;737;06/12/2023
5-109-40563-1;1331;22/11/2023
1-105-91149-3;175;29/09/2023
1-109-51922-4;1128;30/11/2023
8-108-77359-9;87;22/11/2023
8-106-92908-2;89;06/05/2023
1-109-77140-2;1477;06/07/2023
6-103-43112-9;173;07/02/2023
8-102-57198-6;218;22/07/2023
7-101-85792-7;1445;08/04/2023
1-104-64922-9;1357;12/10/2023
4-103-30105-4;377;24/07/2023
6-103-26588-1;39;01/11/2023
7-107-14800-3;77;30/06/2023
3-103-19613-5;632;05/08/2023
2-108-49727-9;145;08/04/2023
3-102-17476-3;217;23/07/2023
2-104-94628-1;1443;05/11/2023
1-103-96182-5;271;09/09/2023
9-106-86307-7;450;05/01/2023
1-106-11022-8;52;13/10/2023
4-108-96229-2;726;01/07/2023
3-101-44552-3;443;28/06/2023
2-101-18229-2;1028;19/11/2023
6-106-72516-5;11;10/03/2023
7-106-18158-4;305;18/11/2023
7-107-90464-2;201;09/09/2023
7-106-12127-9;114;10/06/2023
3-106-72390-4;388;15/03/2023
6-102-36879-4;1278;12/08/2023
6-106-38983-5;230;05/06/2023
6-104-96201-6;653;07/08/2023
8-109-68261-1;166;19/10/2023
8-109-32361-6;1174;05/05/2023
9-106-39713-7;339;08/07/2023
3-104-50228-2;350;11/10/2023
5-107-91526-7;205;18/12/2023
8-102-61761-6;289;22/08/2023
8-108-10321-6;1030;22/08/2023
6-108-92446-6;112;19/06/2023
4-102-54827-8;992;16/07/2023
1-109-94430-1;773;04/03/2023
9-108-64989-9;1424;21/06/2023
3-105-22737-7;114;22/06/2023
8-108-49842-1;496;09/03/2023
5-103-55170-5;160;16/12/2023
7-105-80523-5;1456;11/07/2023
6-107-85091-5;621;01/10/2023
6-101-90526-1;701;12/05/2023
6-105-97923-1;393;05/07/2023
9-103-66739-5;625;08/05/2023
9-108-88150-2;947;20/06/2023
6-102-71130-2;53;14/05/2023
7-106-50294-5;872;20/07/2023
3-104-50228-2;1322;24/10/2023
3-102-17713-1;533;03/01/2023
7-101-19400-2;1344;19/06/2023
9-106-64286-8;924;05/05/2023
4-102-44477-1;1391;10/02/2023
9-103-64248-8;1209;10/05/2023
6-109-58280-4;817;17/04/2023
1-102-47588-7;860;17/03/2023
3-104-19210-8;1226;13/08/2023
